ano,valor,litro,valor_litro
2010,2595303,1280574,2.0266716331894914
2011,3615120,1214834,2.9758139795231284
2012,5521293,5775376,0.956005808106693
2013,22744845,9149059,2.4860310770757956
2014,7472795,2324029,3.21544825817578
2015,2769160,1198479,2.3105619706311082
2016,4434704,1786549,2.4822739258760884
2017,7135607,2889572,2.4694338815575456
2018,7486063,3856162,1.9413248198597466
2019,5934826,3152873,1.882354918831174
2020,6078288,4409717,1.3783850528276531
2021,9851942,8058704,1.2225218844121835
2022,10945282,7025983,1.5578292745655662
2023,8923076,5538888,1.6109868984532636
2024,8751275,5324465,1.6435970562300626
