tipo_produto,ano,producao,comercio_valor
vinho_fino_mesa_branco,2010,391280,5968959
vinho_fino_mesa_branco,2011,754305,4878930
vinho_fino_mesa_branco,2012,525903,6876128
vinho_fino_mesa_branco,2013,719723,8576915
vinho_fino_mesa_branco,2014,1200514,4905826
vinho_fino_mesa_branco,2015,841120,4399814
vinho_fino_mesa_branco,2016,590713,4229293
vinho_fino_mesa_branco,2017,1167258,3670590
vinho_fino_mesa_branco,2018,1291709,3413196
vinho_fino_mesa_branco,2019,2032990,3747362
vinho_fino_mesa_branco,2020,1576888,5115133
vinho_fino_mesa_branco,2021,2173750,6139046
vinho_fino_mesa_branco,2022,2197265,4956314
vinho_fino_mesa_branco,2023,1959336,4924121
vinho_fino_mesa_rosado,2010,13013027,236802
vinho_fino_mesa_rosado,2011,22739426,211484
vinho_fino_mesa_rosado,2012,20647238,150806
vinho_fino_mesa_rosado,2013,21906349,214269
vinho_fino_mesa_rosado,2014,20054804,164219
vinho_fino_mesa_rosado,2015,19561966,169185
vinho_fino_mesa_rosado,2016,8705066,172351
vinho_fino_mesa_rosado,2017,21928400,182080
vinho_fino_mesa_rosado,2018,18297257,262430
vinho_fino_mesa_rosado,2019,18193055,503524
vinho_fino_mesa_rosado,2020,15487915,993248
vinho_fino_mesa_rosado,2021,20867999,1603537
vinho_fino_mesa_rosado,2022,20896613,1318396
vinho_fino_mesa_rosado,2023,20693437,1214583
vinho_fino_mesa_tinto,2010,11401406,15184398
vinho_fino_mesa_tinto,2011,24104740,14876896
vinho_fino_mesa_tinto,2012,24027589,15443016
vinho_fino_mesa_tinto,2013,23156458,19121750
vinho_fino_mesa_tinto,2014,17208996,15354938
vinho_fino_mesa_tinto,2015,16745896,15572632
vinho_fino_mesa_tinto,2016,8774847,15228514
vinho_fino_mesa_tinto,2017,21442212,12021684
vinho_fino_mesa_tinto,2018,19118254,11150517
vinho_fino_mesa_tinto,2019,17389377,11433702
vinho_fino_mesa_tinto,2020,15451883,18202453
vinho_fino_mesa_tinto,2021,20433249,19337862
vinho_fino_mesa_tinto,2022,24417918,15258778
vinho_fino_mesa_tinto,2023,23615783,12450606
vinho_mesa_branco,2010,2569809,30556943
vinho_mesa_branco,2011,1719887,32078923
vinho_mesa_branco,2012,1963356,31266661
vinho_mesa_branco,2013,1726022,31779668
vinho_mesa_branco,2014,958691,26734500
vinho_mesa_branco,2015,939838,25760681
vinho_mesa_branco,2016,312725,18731315
vinho_mesa_branco,2017,36121245,20653091
vinho_mesa_branco,2018,875524,20097830
vinho_mesa_branco,2019,1551794,20661836
vinho_mesa_branco,2020,715289,24589607
vinho_mesa_branco,2021,1391200,22426954
vinho_mesa_branco,2022,1988968,20658933
vinho_mesa_branco,2023,2531246,19398561
vinho_mesa_rosado,2010,35408083,2036928
vinho_mesa_rosado,2011,46007504,1668823
vinho_mesa_rosado,2012,34938249,1738134
vinho_mesa_rosado,2013,32066403,1777648
vinho_mesa_rosado,2014,37438069,1419855
vinho_mesa_rosado,2015,39557250,1409002
vinho_mesa_rosado,2016,10727099,1391942
vinho_mesa_rosado,2017,217527985,1097426
vinho_mesa_rosado,2018,29229970,1972944
vinho_mesa_rosado,2019,22032828,1265435
vinho_mesa_rosado,2020,19568734,1394901
vinho_mesa_rosado,2021,26432799,1931606
vinho_mesa_rosado,2022,30198430,2213723
vinho_mesa_rosado,2023,27910299,2520748
vinho_mesa_tinto,2010,157290088,188649074
vinho_mesa_tinto,2011,210113358,196562722
vinho_mesa_tinto,2012,175875432,173964776
vinho_mesa_tinto,2013,163111797,188033494
vinho_mesa_tinto,2014,157776363,178250072
vinho_mesa_tinto,2015,169811472,182028785
vinho_mesa_tinto,2016,75279191,146646365
vinho_mesa_tinto,2017,1365957,154309442
vinho_mesa_tinto,2018,188270142,155115499
vinho_mesa_tinto,2019,121045115,158519218
vinho_mesa_tinto,2020,103916391,189573423
vinho_mesa_tinto,2021,146075996,185653678
vinho_mesa_tinto,2022,162844214,165067340
vinho_mesa_tinto,2023,139320884,165097539
